buying,maint,doors,persons,lug_boot,safety,Cars24_rating,class
vhigh,high,4,4,big,low,poor,unacc
vhigh,high,4,4,big,med,poor,unacc
vhigh,high,4,4,big,high,poor,unacc
vhigh,high,4,more,small,low,poor,unacc
vhigh,high,4,more,small,med,poor,unacc
vhigh,high,4,more,small,high,poor,unacc
vhigh,high,4,more,med,low,poor,unacc
vhigh,high,4,more,med,med,poor,unacc
vhigh,high,4,more,med,high,poor,unacc
vhigh,high,4,more,big,low,poor,unacc
vhigh,high,4,more,big,med,poor,unacc
vhigh,high,4,more,big,high,poor,unacc
vhigh,high,5more,2,small,low,poor,unacc
vhigh,high,5more,2,small,med,poor,unacc
vhigh,high,5more,2,small,high,poor,unacc
vhigh,high,5more,2,med,low,poor,unacc
vhigh,high,5more,2,med,med,poor,unacc
vhigh,high,5more,2,med,high,poor,unacc
vhigh,high,5more,2,big,low,poor,unacc
vhigh,high,5more,2,big,med,poor,unacc
vhigh,high,5more,2,big,high,poor,unacc
vhigh,high,5more,4,small,low,poor,unacc
vhigh,high,5more,4,small,med,poor,unacc
vhigh,high,5more,4,small,high,poor,unacc
vhigh,high,5more,4,med,low,poor,unacc
vhigh,high,5more,4,med,med,poor,unacc
vhigh,high,5more,4,med,high,poor,unacc
vhigh,high,5more,4,big,low,poor,unacc
vhigh,high,5more,4,big,med,poor,unacc
vhigh,high,5more,4,big,high,poor,unacc
vhigh,high,5more,more,small,low,poor,unacc
vhigh,high,5more,more,small,med,poor,unacc
vhigh,high,5more,more,small,high,poor,unacc
vhigh,high,5more,more,med,low,poor,unacc
vhigh,high,5more,more,med,med,poor,unacc
vhigh,high,5more,more,med,high,poor,unacc
vhigh,high,5more,more,big,low,poor,unacc
vhigh,high,5more,more,big,med,poor,unacc
vhigh,high,5more,more,big,high,poor,unacc
vhigh,med,2,2,small,low,poor,unacc
vhigh,med,2,2,small,med,poor,unacc
vhigh,med,2,2,small,high,poor,unacc
vhigh,med,2,2,med,low,poor,unacc
vhigh,med,2,2,med,med,poor,unacc
vhigh,med,2,2,med,high,poor,unacc
vhigh,med,2,2,big,low,poor,unacc
vhigh,med,2,2,big,med,poor,unacc
vhigh,med,2,2,big,high,poor,unacc
vhigh,med,2,4,small,low,poor,unacc
vhigh,med,2,4,small,med,poor,unacc
vhigh,med,2,4,small,high,average,acc
vhigh,med,2,4,med,low,poor,unacc
vhigh,med,2,4,med,med,poor,unacc
vhigh,med,2,4,med,high,average,acc
vhigh,med,2,4,big,low,poor,unacc
vhigh,med,2,4,big,med,average,acc
vhigh,med,2,4,big,high,average,acc
vhigh,med,2,more,small,low,poor,unacc
vhigh,med,2,more,small,med,poor,unacc
vhigh,med,2,more,small,high,poor,unacc
vhigh,med,2,more,med,low,poor,unacc
vhigh,med,2,more,med,med,poor,unacc
vhigh,med,2,more,med,high,average,acc
vhigh,med,2,more,big,low,poor,unacc
vhigh,med,2,more,big,med,average,acc
vhigh,med,2,more,big,high,average,acc
vhigh,med,3,2,small,low,poor,unacc
vhigh,med,3,2,small,med,poor,unacc
vhigh,med,3,2,small,high,poor,unacc
vhigh,med,3,2,med,low,poor,unacc
vhigh,med,3,2,med,med,poor,unacc
vhigh,med,3,2,med,high,poor,unacc
vhigh,med,3,2,big,low,poor,unacc
vhigh,med,3,2,big,med,poor,unacc
vhigh,med,3,2,big,high,poor,unacc
vhigh,med,3,4,small,low,poor,unacc
vhigh,med,3,4,small,med,poor,unacc
vhigh,med,3,4,small,high,average,acc
vhigh,med,3,4,med,low,poor,unacc
vhigh,med,3,4,med,med,poor,unacc
vhigh,med,3,4,med,high,average,acc
vhigh,med,3,4,big,low,poor,unacc
vhigh,med,3,4,big,med,average,acc
vhigh,med,3,4,big,high,average,acc
vhigh,med,3,more,small,low,poor,unacc
vhigh,med,3,more,small,med,poor,unacc
vhigh,med,3,more,small,high,average,acc
vhigh,med,3,more,med,low,poor,unacc
vhigh,med,3,more,med,med,average,acc
vhigh,med,3,more,med,high,average,acc
vhigh,med,3,more,big,low,poor,unacc
vhigh,med,3,more,big,med,average,acc
vhigh,med,3,more,big,high,average,acc
vhigh,med,4,2,small,low,poor,unacc
vhigh,med,4,2,small,med,poor,unacc
vhigh,med,4,2,small,high,poor,unacc
vhigh,med,4,2,med,low,poor,unacc
vhigh,med,4,2,med,med,poor,unacc
vhigh,med,4,2,med,high,poor,unacc
vhigh,med,4,2,big,low,poor,unacc
vhigh,med,4,2,big,med,poor,unacc
vhigh,med,4,2,big,high,poor,unacc
vhigh,med,4,4,small,low,poor,unacc
vhigh,med,4,4,small,med,poor,unacc
vhigh,med,4,4,small,high,average,acc
vhigh,med,4,4,med,low,poor,unacc
vhigh,med,4,4,med,med,average,acc
vhigh,med,4,4,med,high,average,acc
vhigh,med,4,4,big,low,poor,unacc
vhigh,med,4,4,big,med,average,acc
vhigh,med,4,4,big,high,average,acc
vhigh,med,4,more,small,low,poor,unacc
vhigh,med,4,more,small,med,poor,unacc
vhigh,med,4,more,small,high,average,acc
vhigh,med,4,more,med,low,poor,unacc
vhigh,med,4,more,med,med,average,acc
vhigh,med,4,more,med,high,average,acc
vhigh,med,4,more,big,low,poor,unacc
vhigh,med,4,more,big,med,average,acc
vhigh,med,4,more,big,high,average,acc
vhigh,med,5more,2,small,low,poor,unacc
vhigh,med,5more,2,small,med,poor,unacc
vhigh,med,5more,2,small,high,poor,unacc
vhigh,med,5more,2,med,low,poor,unacc
vhigh,med,5more,2,med,med,poor,unacc
vhigh,med,5more,2,med,high,poor,unacc
vhigh,med,5more,2,big,low,poor,unacc
vhigh,med,5more,2,big,med,poor,unacc
vhigh,med,5more,2,big,high,poor,unacc
vhigh,med,5more,4,small,low,poor,unacc
vhigh,med,5more,4,small,med,poor,unacc
vhigh,med,5more,4,small,high,average,acc
vhigh,med,5more,4,med,low,poor,unacc
vhigh,med,5more,4,med,med,average,acc
vhigh,med,5more,4,med,high,average,acc
vhigh,med,5more,4,big,low,poor,unacc
vhigh,med,5more,4,big,med,average,acc
vhigh,med,5more,4,big,high,average,acc
vhigh,med,5more,more,small,low,poor,unacc
vhigh,med,5more,more,small,med,poor,unacc
vhigh,med,5more,more,small,high,average,acc
vhigh,med,5more,more,med,low,poor,unacc
vhigh,med,5more,more,med,med,average,acc
vhigh,med,5more,more,med,high,average,acc
vhigh,med,5more,more,big,low,poor,unacc
vhigh,med,5more,more,big,med,average,acc
vhigh,med,5more,more,big,high,average,acc
vhigh,low,2,2,small,low,poor,unacc
vhigh,low,2,2,small,med,poor,unacc
vhigh,low,2,2,small,high,poor,unacc
vhigh,low,2,2,med,low,poor,unacc
vhigh,low,2,2,med,med,poor,unacc
vhigh,low,2,2,med,high,poor,unacc
vhigh,low,2,2,big,low,poor,unacc
vhigh,low,2,2,big,med,poor,unacc
vhigh,low,2,2,big,high,poor,unacc
vhigh,low,2,4,small,low,poor,unacc
vhigh,low,2,4,small,med,poor,unacc
vhigh,low,2,4,small,high,average,acc
vhigh,low,2,4,med,low,poor,unacc
vhigh,low,2,4,med,med,poor,unacc
vhigh,low,2,4,med,high,average,acc
vhigh,low,2,4,big,low,poor,unacc
vhigh,low,2,4,big,med,average,acc
vhigh,low,2,4,big,high,average,acc
vhigh,low,2,more,small,low,poor,unacc
vhigh,low,2,more,small,med,poor,unacc
vhigh,low,2,more,small,high,poor,unacc
vhigh,low,2,more,med,low,poor,unacc
vhigh,low,2,more,med,med,poor,unacc
vhigh,low,2,more,med,high,average,acc
vhigh,low,2,more,big,low,poor,unacc
vhigh,low,2,more,big,med,average,acc
vhigh,low,2,more,big,high,average,acc
vhigh,low,3,2,small,low,poor,unacc
vhigh,low,3,2,small,med,poor,unacc
vhigh,low,3,2,small,high,poor,unacc
vhigh,low,3,2,med,low,poor,unacc
vhigh,low,3,2,med,med,poor,unacc
vhigh,low,3,2,med,high,poor,unacc
vhigh,low,3,2,big,low,poor,unacc
vhigh,low,3,2,big,med,poor,unacc
vhigh,low,3,2,big,high,poor,unacc
vhigh,low,3,4,small,low,poor,unacc
vhigh,low,3,4,small,med,poor,unacc
vhigh,low,3,4,small,high,average,acc
vhigh,low,3,4,med,low,poor,unacc
vhigh,low,3,4,med,med,poor,unacc
vhigh,low,3,4,med,high,average,acc
vhigh,low,3,4,big,low,poor,unacc
vhigh,low,3,4,big,med,average,acc
vhigh,low,3,4,big,high,average,acc
vhigh,low,3,more,small,low,poor,unacc
vhigh,low,3,more,small,med,poor,unacc
vhigh,low,3,more,small,high,average,acc
vhigh,low,3,more,med,low,poor,unacc
vhigh,low,3,more,med,med,average,acc
vhigh,low,3,more,med,high,average,acc
vhigh,low,3,more,big,low,poor,unacc
vhigh,low,3,more,big,med,average,acc
vhigh,low,3,more,big,high,average,acc
vhigh,low,4,2,small,low,poor,unacc
vhigh,low,4,2,small,med,poor,unacc
vhigh,low,4,2,small,high,poor,unacc
vhigh,low,4,2,med,low,poor,unacc
vhigh,low,4,2,med,med,poor,unacc
vhigh,low,4,2,med,high,poor,unacc
vhigh,low,4,2,big,low,poor,unacc
vhigh,low,4,2,big,med,poor,unacc
vhigh,low,4,2,big,high,poor,unacc
vhigh,low,4,4,small,low,poor,unacc
vhigh,low,4,4,small,med,poor,unacc
vhigh,low,4,4,small,high,average,acc
vhigh,low,4,4,med,low,poor,unacc
vhigh,low,4,4,med,med,average,acc
vhigh,low,4,4,med,high,average,acc
vhigh,low,4,4,big,low,poor,unacc
vhigh,low,4,4,big,med,average,acc
vhigh,low,4,4,big,high,average,acc
vhigh,low,4,more,small,low,poor,unacc
vhigh,low,4,more,small,med,poor,unacc
vhigh,low,4,more,small,high,average,acc
vhigh,low,4,more,med,low,poor,unacc
vhigh,low,4,more,med,med,average,acc
vhigh,low,4,more,med,high,average,acc
vhigh,low,4,more,big,low,poor,unacc
vhigh,low,4,more,big,med,average,acc
vhigh,low,4,more,big,high,average,acc
vhigh,low,5more,2,small,low,poor,unacc
vhigh,low,5more,2,small,med,poor,unacc
vhigh,low,5more,2,small,high,poor,unacc
vhigh,low,5more,2,med,low,poor,unacc
vhigh,low,5more,2,med,med,poor,unacc
vhigh,low,5more,2,med,high,poor,unacc
vhigh,low,5more,2,big,low,poor,unacc
vhigh,low,5more,2,big,med,poor,unacc
vhigh,low,5more,2,big,high,poor,unacc
vhigh,low,5more,4,small,low,poor,unacc
vhigh,low,5more,4,small,med,poor,unacc
vhigh,low,5more,4,small,high,average,acc
vhigh,low,5more,4,med,low,poor,unacc
vhigh,low,5more,4,med,med,average,acc
vhigh,low,5more,4,med,high,average,acc
vhigh,low,5more,4,big,low,poor,unacc
vhigh,low,5more,4,big,med,average,acc
vhigh,low,5more,4,big,high,average,acc
vhigh,low,5more,more,small,low,poor,unacc
vhigh,low,5more,more,small,med,poor,unacc
vhigh,low,5more,more,small,high,average,acc
vhigh,low,5more,more,med,low,poor,unacc
vhigh,low,5more,more,med,med,average,acc
vhigh,low,5more,more,med,high,average,acc
vhigh,low,5more,more,big,low,poor,unacc
vhigh,low,5more,more,big,med,average,acc
vhigh,low,5more,more,big,high,average,acc
high,vhigh,2,2,small,low,poor,unacc
high,vhigh,2,2,small,med,poor,unacc
high,vhigh,2,2,small,high,poor,unacc
high,vhigh,2,2,med,low,poor,unacc
high,vhigh,2,2,med,med,poor,unacc
high,vhigh,2,2,med,high,poor,unacc
high,vhigh,2,2,big,low,poor,unacc
high,vhigh,2,2,big,med,poor,unacc
high,vhigh,2,2,big,high,poor,unacc
high,vhigh,2,4,small,low,poor,unacc
high,vhigh,2,4,small,med,poor,unacc
high,vhigh,2,4,small,high,poor,unacc
high,vhigh,2,4,med,low,poor,unacc
high,vhigh,2,4,med,med,poor,unacc
high,vhigh,2,4,med,high,poor,unacc
high,vhigh,2,4,big,low,poor,unacc
high,vhigh,2,4,big,med,poor,unacc
high,vhigh,2,4,big,high,poor,unacc
high,vhigh,2,more,small,low,poor,unacc
high,vhigh,2,more,small,med,poor,unacc
high,vhigh,2,more,small,high,poor,unacc
high,vhigh,2,more,med,low,poor,unacc
high,vhigh,2,more,med,med,poor,unacc
high,vhigh,2,more,med,high,poor,unacc
high,vhigh,2,more,big,low,poor,unacc
high,vhigh,2,more,big,med,poor,unacc
high,vhigh,2,more,big,high,poor,unacc
high,vhigh,3,2,small,low,poor,unacc
high,vhigh,3,2,small,med,poor,unacc
high,vhigh,3,2,small,high,poor,unacc
high,vhigh,3,2,med,low,poor,unacc
high,vhigh,3,2,med,med,poor,unacc
high,vhigh,3,2,med,high,poor,unacc
high,vhigh,3,2,big,low,poor,unacc
high,vhigh,3,2,big,med,poor,unacc
high,vhigh,3,2,big,high,poor,unacc
high,vhigh,3,4,small,low,poor,unacc
high,vhigh,3,4,small,med,poor,unacc
high,vhigh,3,4,small,high,poor,unacc
high,vhigh,3,4,med,low,poor,unacc
high,vhigh,3,4,med,med,poor,unacc
high,vhigh,3,4,med,high,poor,unacc
high,vhigh,3,4,big,low,poor,unacc
high,vhigh,3,4,big,med,poor,unacc
high,vhigh,3,4,big,high,poor,unacc
high,vhigh,3,more,small,low,poor,unacc
high,vhigh,3,more,small,med,poor,unacc
high,vhigh,3,more,small,high,poor,unacc
high,vhigh,3,more,med,low,poor,unacc
high,vhigh,3,more,med,med,poor,unacc
high,vhigh,3,more,med,high,poor,unacc
high,vhigh,3,more,big,low,poor,unacc
high,vhigh,3,more,big,med,poor,unacc
high,vhigh,3,more,big,high,poor,unacc
high,vhigh,4,2,small,low,poor,unacc
high,vhigh,4,2,small,med,poor,unacc
high,vhigh,4,2,small,high,poor,unacc
high,vhigh,4,2,med,low,poor,unacc
high,vhigh,4,2,med,med,poor,unacc
high,vhigh,4,2,med,high,poor,unacc
high,vhigh,4,2,big,low,poor,unacc
high,vhigh,4,2,big,med,poor,unacc
high,vhigh,4,2,big,high,poor,unacc
high,vhigh,4,4,small,low,poor,unacc
high,vhigh,4,4,small,med,poor,unacc
high,vhigh,4,4,small,high,poor,unacc
high,vhigh,4,4,med,low,poor,unacc
high,vhigh,4,4,med,med,poor,unacc
high,vhigh,4,4,med,high,poor,unacc
high,vhigh,4,4,big,low,poor,unacc
high,vhigh,4,4,big,med,poor,unacc
high,vhigh,4,4,big,high,poor,unacc
high,vhigh,4,more,small,low,poor,unacc
high,vhigh,4,more,small,med,poor,unacc
high,vhigh,4,more,small,high,poor,unacc
high,vhigh,4,more,med,low,poor,unacc
high,vhigh,4,more,med,med,poor,unacc
high,vhigh,4,more,med,high,poor,unacc
high,vhigh,4,more,big,low,poor,unacc
high,vhigh,4,more,big,med,poor,unacc
high,vhigh,4,more,big,high,poor,unacc
high,vhigh,5more,2,small,low,poor,unacc
high,vhigh,5more,2,small,med,poor,unacc
high,vhigh,5more,2,small,high,poor,unacc
high,vhigh,5more,2,med,low,poor,unacc
high,vhigh,5more,2,med,med,poor,unacc
high,vhigh,5more,2,med,high,poor,unacc
high,vhigh,5more,2,big,low,poor,unacc
high,vhigh,5more,2,big,med,poor,unacc
high,vhigh,5more,2,big,high,poor,unacc
high,vhigh,5more,4,small,low,poor,unacc
high,vhigh,5more,4,small,med,poor,unacc
high,vhigh,5more,4,small,high,poor,unacc
high,vhigh,5more,4,med,low,poor,unacc
high,vhigh,5more,4,med,med,poor,unacc
high,vhigh,5more,4,med,high,poor,unacc
high,vhigh,5more,4,big,low,poor,unacc
high,vhigh,5more,4,big,med,poor,unacc
high,vhigh,5more,4,big,high,poor,unacc
high,vhigh,5more,more,small,low,poor,unacc
high,vhigh,5more,more,small,med,poor,unacc
high,vhigh,5more,more,small,high,poor,unacc
high,vhigh,5more,more,med,low,poor,unacc
high,vhigh,5more,more,med,med,poor,unacc
high,vhigh,5more,more,med,high,poor,unacc
high,vhigh,5more,more,big,low,poor,unacc
high,vhigh,5more,more,big,med,poor,unacc
high,vhigh,5more,more,big,high,poor,unacc
high,high,2,2,small,low,poor,unacc
high,high,2,2,small,med,poor,unacc
high,high,2,2,small,high,poor,unacc
high,high,2,2,med,low,poor,unacc
high,high,2,2,med,med,poor,unacc
high,high,2,2,med,high,poor,unacc
high,high,2,2,big,low,poor,unacc
high,high,2,2,big,med,poor,unacc
high,high,2,2,big,high,poor,unacc
high,high,2,4,small,low,poor,unacc
high,high,2,4,small,med,poor,unacc
high,high,2,4,small,high,average,acc
high,high,2,4,med,low,poor,unacc
high,high,2,4,med,med,poor,unacc
high,high,2,4,med,high,average,acc
high,high,2,4,big,low,poor,unacc
high,high,2,4,big,med,average,acc
high,high,2,4,big,high,average,acc
high,high,2,more,small,low,poor,unacc
high,high,2,more,small,med,poor,unacc
high,high,2,more,small,high,poor,unacc
high,high,2,more,med,low,poor,unacc
high,high,2,more,med,med,poor,unacc
high,high,2,more,med,high,average,acc
high,high,2,more,big,low,poor,unacc
high,high,2,more,big,med,average,acc
high,high,2,more,big,high,average,acc
high,high,3,2,small,low,poor,unacc
high,high,3,2,small,med,poor,unacc
high,high,3,2,small,high,poor,unacc
high,high,3,2,med,low,poor,unacc
high,high,3,2,med,med,poor,unacc
high,high,3,2,med,high,poor,unacc
high,high,3,2,big,low,poor,unacc
high,high,3,2,big,med,poor,unacc
high,high,3,2,big,high,poor,unacc
high,high,3,4,small,low,poor,unacc
high,high,3,4,small,med,poor,unacc
high,high,3,4,small,high,average,acc
high,high,3,4,med,low,poor,unacc
high,high,3,4,med,med,poor,unacc
high,high,3,4,med,high,average,acc
high,high,3,4,big,low,poor,unacc
high,high,3,4,big,med,average,acc
high,high,3,4,big,high,average,acc
high,high,3,more,small,low,poor,unacc
high,high,3,more,small,med,poor,unacc
high,high,3,more,small,high,average,acc
high,high,3,more,med,low,poor,unacc
high,high,3,more,med,med,average,acc
high,high,3,more,med,high,average,acc
high,high,3,more,big,low,poor,unacc
high,high,3,more,big,med,average,acc
high,high,3,more,big,high,average,acc
high,high,4,2,small,low,poor,unacc
high,high,4,2,small,med,poor,unacc
high,high,4,2,small,high,poor,unacc
high,high,4,2,med,low,poor,unacc
high,high,4,2,med,med,poor,unacc
high,high,4,2,med,high,poor,unacc
high,high,4,2,big,low,poor,unacc
high,high,4,2,big,med,poor,unacc
high,high,4,2,big,high,poor,unacc
high,high,4,4,small,low,poor,unacc
high,high,4,4,small,med,poor,unacc
high,high,4,4,small,high,average,acc
high,high,4,4,med,low,poor,unacc
high,high,4,4,med,med,average,acc
high,high,4,4,med,high,average,acc
high,high,4,4,big,low,poor,unacc
high,high,4,4,big,med,average,acc
high,high,4,4,big,high,average,acc
high,high,4,more,small,low,poor,unacc
high,high,4,more,small,med,poor,unacc
high,high,4,more,small,high,average,acc
high,high,4,more,med,low,poor,unacc
high,high,4,more,med,med,average,acc
high,high,4,more,med,high,average,acc
high,high,4,more,big,low,poor,unacc
high,high,4,more,big,med,average,acc
high,high,4,more,big,high,average,acc
high,high,5more,2,small,low,poor,unacc
high,high,5more,2,small,med,poor,unacc
high,high,5more,2,small,high,poor,unacc
high,high,5more,2,med,low,poor,unacc
high,high,5more,2,med,med,poor,unacc
high,high,5more,2,med,high,poor,unacc
high,high,5more,2,big,low,poor,unacc
high,high,5more,2,big,med,poor,unacc
high,high,5more,2,big,high,poor,unacc
high,high,5more,4,small,low,poor,unacc
high,high,5more,4,small,med,poor,unacc
high,high,5more,4,small,high,average,acc
